Start profiling...
STAGE:2023-03-27 15:25:53 29481:29481 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-27 15:25:58 29481:29481 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.160245
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.230357
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.036551
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.094556
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.006916
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.043922
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.007841
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.050679
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.027596
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.019512
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.044527
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.058288
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.120417
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.033224
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.018257
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.200148
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.035973
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.019541
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.014726
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.053115
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.102911
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.055145
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.010100
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.093806
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.039811
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.027593
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.019839
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.188367
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.149660
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.028571
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.009753
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.130294
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.115391
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.114980
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.072831
Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.073942
Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.124265
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.095436
Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.026098
Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.245753
Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.037560
Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.009997
Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.223416
Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.219203
Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.133094
Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.026751
Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.036866
